Title,Body,Assignees,Status,Priority,Type,Week,Milestone,Labels,Epic ID,Parent Epic,Story ID,Depends On,Estimate,Acceptance Criteria,Iteration
Epic: Local AI Foundation,"## Goal
Get the local agent runtime working on Windows with OpenClaw, Ollama, models, workspaces, and verified agent flows.

## Scope
- - Install Ollama and verify local runtime
- Pull local coding and embedding models
- Install OpenClaw and complete onboarding
- Create and validate agent workspaces
- Define agents in openclaw.json
- Smoke test all local agents

## Exit criteria
All P0 stories for Week 1 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,1,Week 1 — Local AI Foundation,"week-1,epic,mvp,foundation",E-01,,,,8,Weekly milestone 'Week 1 — Local AI Foundation' achieved.,Week 1
Install Ollama and verify local runtime,"## Story
Set up Ollama on Windows and confirm it is available on the command line.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,devops,ollama",,E-01,S-01-01,,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Pull local coding and embedding models,"## Story
Pull qwen2.5-coder:7b, codellama:7b-instruct, codellama:7b-code, and nomic-embed-text.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,ollama,models",,E-01,S-01-02,S-01-01,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Install OpenClaw and complete onboarding,"## Story
Install OpenClaw, run onboarding, and verify the gateway and dashboard.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,openclaw,setup",,E-01,S-01-03,S-01-02,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Create and validate agent workspaces,"## Story
Create workspace-main, workspace-reviewer, workspace-tests, workspace-docs, and workspace-support with required files.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,agents,workspace",,E-01,S-01-04,S-01-03,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Define agents in openclaw.json,"## Story
Add model routing, workspaces, memorySearch, and baseline bindings to the OpenClaw config.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,openclaw,config",,E-01,S-01-05,S-01-04,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Smoke test all local agents,"## Story
Run one simple task through each agent and confirm expected behavior and model selection.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: Local AI Foundation**.
",,Todo,P0,Story,1,Week 1 — Local AI Foundation,"week-1,story,testing,agents",,E-01,S-01-06,S-01-05,3,"- Deliverable for Week 1 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 1
Epic: SaaS Backend and Frontend Skeleton,"## Goal
Create the core product shell with a Spring Boot backend, Angular frontend, auth foundation, and tenant-aware data model.

## Scope
- - Bootstrap Spring Boot backend
- Configure Postgres and migrations
- Implement authentication foundation
- Create tenant and project domain models
- Bootstrap Angular app shell
- Add auth state and org/project switching UI

## Exit criteria
All P0 stories for Week 2 are completed and the weekly milestone outcome is demonstrably working.
",,Todo,P0,Epic,2,Week 2 — SaaS Backend and Frontend Skeleton,"week-2,epic,mvp,foundation",E-02,,,E-01,8,Weekly milestone 'Week 2 — SaaS Backend and Frontend Skeleton' achieved.,Week 2
Bootstrap Spring Boot backend,"## Story
Create the backend project with core packages for auth, users, organizations, projects, audit, memory, and integrations.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: SaaS Backend and Frontend Skeleton**.
",,Todo,P0,Story,2,Week 2 — SaaS Backend and Frontend Skeleton,"week-2,story,backend,spring-boot",,E-02,S-02-01,E-01,3,"- Deliverable for Week 2 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 2
Configure Postgres and migrations,"## Story
Set up Postgres connectivity and Flyway or Liquibase migrations.

## Checklist
- [ ] Implement the required backend or frontend changes
- [ ] Add or update tests where relevant
- [ ] Update docs, config, or memory when behavior changes
- [ ] Demo the completed outcome

## Notes
This item belongs to **Epic: SaaS Backend and Frontend Skeleton**.
",,Todo,P0,Story,2,Week 2 — SaaS Backend and Frontend Skeleton,"week-2,story,backend,database",,E-02,S-02-02,S-02-01,3,"- Deliverable for Week 2 is working
- Tested enough for the next dependent story
- Changes are documented where needed",Week 2
